Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	synaptic transmission, glutamatergic (GO:0035249)	5/21	6.57635109261622e-07	0.0005044457367173996	0	0	38.708984375	551.0075130238797	GRIA1;GRIA2;UNC13C;SLC1A4;GRIA4
GO_Biological_Process_2018	chemical synaptic transmission (GO:0007268)	13/289	8.571720250083256e-07	0.0005044457367173996	0	0	6.06090293668955	84.66855457666296	GRIA1;GABRA2;UNC13C;GRIA2;GABRB1;KCND2;NRXN1;SLC1A3;SLC1A4;KCNQ3;APOE;ASIC2;GRIA4
GO_Biological_Process_2018	neurotransmitter transport (GO:0006836)	4/16	7.523984778691117e-06	0.0029519100281731	0	0	41.041407867494826	484.18250723544753	GABRA2;SLC38A1;SLC1A3;GLUL
GO_Biological_Process_2018	anterograde trans-synaptic signaling (GO:0098916)	10/240	3.158461859159236e-05	0.009293774020576	0	0	5.49929873772791	56.98835463223654	GRIA1;GABRA2;UNC13C;GRIA2;GABRB1;KCND2;NRXN1;KCNQ3;SLC1A3;ASIC2
GO_Biological_Process_2018	axonogenesis (GO:0007409)	9/223	0.00010084405224438346	0.0237386898983278	0	0	5.289629762760604	48.67483068744667	NELL2;ROBO2;LINGO1;DOK6;NRXN1;NCAM1;PRELP;EFNA5;S100B
GO_Biological_Process_2018	positive regulation of endocytosis (GO:0045807)	5/64	0.00018512004013929503	0.0322112086183809	0	0	10.47457627118644	90.02380942394367	CD63;HIP1;CAMK1D;APOE;MERTK
GO_Biological_Process_2018	regulation of synapse assembly (GO:0051963)	4/35	0.000191570484561314	0.0322112086183809	0	0	15.871769184532155	135.86638757610697	ROBO2;NRXN1;IL1RAPL1;SYNDIG1
GO_Biological_Process_2018	positive regulation of cellular component organization (GO:0051130)	6/106	0.0002486497079023458	0.0365825882751326	0	0	7.447169811320754	61.807528531007655	CD63;NRXN1;IL1RAPL1;SYNDIG1;APOE;IGF1R
GO_Biological_Process_2018	ion transmembrane transport (GO:0034220)	8/219	0.00047953558115136657	0.0627125976683509	0	0	4.739094998037855	36.219445616777335	GABRA2;GJA1;GABRB1;TSC22D3;LRRC8C;ATP1A2;AQP4;ASIC2
GO_Biological_Process_2018	ion transport (GO:0006811)	9/289	0.0006811995066560698	0.0801771819334194	0	0	4.02918956043956	29.379461547673763	GABRA2;GJA1;GABRB1;SLC24A4;TSC22D3;SLC1A3;ATP1A2;AQP4;ASIC2
GO_Biological_Process_2018	carboxylic acid transport (GO:0046942)	4/51	0.0008252909018062595	0.0883061264932697	0	0	10.460155940266947	74.26474972380737	SLC38A1;PSAP;SLC1A4;SLC7A11
GO_Biological_Process_2018	positive regulation of synapse assembly (GO:0051965)	3/26	0.0012468891695578	0.1222990460474646	0	0	15.951690821256038	106.67060742434136	NRXN1;IL1RAPL1;SYNDIG1
GO_Biological_Process_2018	negative regulation of synapse organization (GO:1905809)	2/7	0.0013825575926218	0.1251746374242973	0	0	48.66257668711656	320.3856537766379	ROBO2;APOE
GO_Biological_Process_2018	monovalent inorganic cation transport (GO:0015672)	5/104	0.0017143736708757	0.1395094488045209	0	0	6.22979797979798	39.6757609402163	KCNJ10;KCNMA1;ATP1A2;ASIC2;SLC4A4
GO_Biological_Process_2018	positive regulation of cell projection organization (GO:0031346)	4/63	0.0018221864104918	0.1395094488045209	0	0	8.327613432992946	52.52823860116845	FZD1;CAMK1D;NAV3;APOE
GO_Biological_Process_2018	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	4/64	0.0019313246167063	0.1395094488045209	0	0	8.18840579710145	51.17384474773941	PTPRT;ROBO2;CADM1;CDH19
GO_Biological_Process_2018	axon guidance (GO:0007411)	6/158	0.0020150047830729	0.1395094488045209	0	0	4.886544190665343	30.3314331705644	ROBO2;NELL2;DOK6;NRXN1;NCAM1;EFNA5
GO_Biological_Process_2018	cyclic-nucleotide-mediated signaling (GO:0019935)	3/32	0.0022940850034432	0.150007669391818	0	0	12.647509578544062	76.86424291925114	PDE4D;ADCY2;APOE
GO_Biological_Process_2018	insulin-like growth factor receptor signaling pathway (GO:0048009)	2/10	0.0029147878179572	0.1805634348281914	0	0	30.40950920245399	177.52944517411476	PLCB1;IGF1R
GO_Biological_Process_2018	glutamate receptor signaling pathway (GO:0007215)	3/36	0.0032237532503545	0.1831060076677203	0	0	11.11223344556678	63.75320565084898	GRIA2;PLCB1;GRIA4
GO_Biological_Process_2018	regulation of signal transduction (GO:0009966)	7/233	0.003266972099424	0.1831060076677203	0	0	3.844040551137	22.00287175330215	LFNG;CD63;ERBB4;RORA;MERTK;PLCB1;IGF1R
GO_Biological_Process_2018	nervous system development (GO:0007399)	10/455	0.004596456828436	0.2250276523243167	0	0	2.8111634650235597	15.131001685830428	CHST8;ROBO2;NAV3;ERBB4;NRXN1;LSAMP;EFNA5;ASIC2;S100B;ITM2B
GO_Biological_Process_2018	regulation of calcium-mediated signaling (GO:0050848)	3/41	0.0046705010616356	0.2250276523243167	0	0	9.647660818713453	51.77406488122239	PDE4D;RCAN2;ITPR1
GO_Biological_Process_2018	modulation of chemical synaptic transmission (GO:0050804)	4/82	0.0047419821961756	0.2250276523243167	0	0	6.293040293040293	33.67594680863767	GRIA1;GRIA2;ATP1A2;GRIA4
GO_Biological_Process_2018	positive regulation of cardiac muscle cell proliferation (GO:0060045)	2/13	0.004970874222967	0.2250276523243167	0	0	22.11266034578918	117.28907864518789	TGFBR3;ERBB4
