Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Protein processing in endoplasmic reticulum	57/163	1.0740138958447085e-13	3.09316002003276e-11	0	0	3.823288696215616	114.17182422355276	TRAM1;HSP90AB1;UBE2D3;NGLY1;ERO1L;HERPUD1;MAN1A2;SKP1A;SEC63;PDIA3;HSP90AA1;SSR2;UBE4B;PDIA6;RAD23B;RBX1;ERN1;MAN1A;SELENOS;DNAJC5;ERP29;PREB;ATF6;CRYAB;VCP;HSPA4L;CUL1;DERL1;HSP90B1;UBE2J1;ATXN3;DNAJB1;ERLEC1;MAPK9;MAPK8;HSPH1;OS9;UGGT1;SEC31A;HSPA8;MBTPS1;SEC24B;SEC24A;HSPA5;EDEM1;UBE2G1;DNAJA1;NSFL1C;DNAJC10;DNAJA2;BCL2;STUB1;CALR;SEC24D;SEC24C;HSPA1B;NFE2L2
KEGG_2019_Mouse	Ubiquitin mediated proteolysis	48/138	1.1547467331778327e-11	1.662835295776079e-09	0	0	3.781561439239647	95.23694198297956	UBE3C;CUL5;UBA6;MGRN1;CUL3;UBE2D3;CUL1;XIAP;CBLB;RCHY1;CBL;ANAPC10;UBE2L3;UBE2J1;RHOBTB2;HERC3;HERC1;UBR5;SKP2;SKP1A;UBE2H;MAP3K1;PPIL2;FBXW7;SIAH1A;HUWE1;UBE4A;UBE4B;UBE2G1;PIAS2;RBX1;PIAS1;UBE2W;ITCH;UBE2R2;TRAF6;NEDD4;UBE2N;MDM2;ANAPC4;UBE2O;ANAPC5;UBA1;BIRC6;TRIP12;STUB1;SAE1;UBE2K
KEGG_2019_Mouse	FoxO signaling pathway	46/132	2.8597160985517463e-11	2.7453274546096766e-09	0	0	3.790337999640325	92.02074066502374	CDKN1A;IRS1;SETD7;PRKAG1;PRKAG2;IRS2;PIK3CB;FOXO3;STK4;GABARAP;EGFR;MAPK9;STK11;MAPK8;CCND2;EP300;MAPK1;SKP2;USP7;GABARAPL1;CREBBP;SMAD4;SMAD3;HOMER1;CHUK;TGFB3;PDPK1;INSR;STAT3;BRAF;CSNK1E;MAPK14;SIRT1;TGFBR1;TGFBR2;RBL2;BCL6;PIK3CA;CAT;MDM2;GRB2;SGK3;KRAS;RAF1;SGK1;SOS2
KEGG_2019_Mouse	Autophagy	43/130	8.231001656029698e-10	5.9263211923413836e-08	0	0	3.4979441173722083	73.16979641558075	BECN1;RAB7;MTMR3;IRS1;ITPR1;IRS2;PIK3CB;AMBRA1;ZFYVE1;GABARAP;PPP2CA;MAPK9;STK11;MAPK8;CTSL;RB1CC1;MAPK1;MAP3K7;ATG5;CTSB;UVRAG;RUBCN;GABARAPL1;PDPK1;TSC1;WIPI2;ATG13;RAB33B;ERN1;VMP1;RRAGC;ATG16L2;PIK3CA;RPS6KB1;TRAF6;DDIT4;BCL2;ULK2;ATG4B;KRAS;RAF1;BCL2L1;ATG2B
KEGG_2019_Mouse	Colorectal cancer	30/88	1.337246375138894e-07	7.555633438579465e-06	0	0	3.64746155026005	57.73013602719117	CDKN1A;PIK3CB;EGFR;BBC3;MAPK9;MAPK8;MAPK1;RAC1;RALGDS;APPL1;TCF7L2;TCF7L1;SMAD4;SMAD3;TGFB3;AXIN1;BRAF;RHOA;TGFBR1;TGFBR2;MSH2;PIK3CA;RPS6KB1;MSH3;BCL2;CTNNB1;KRAS;GRB2;RAF1;SOS2
KEGG_2019_Mouse	Pancreatic cancer	27/75	1.5740902997040552e-07	7.555633438579465e-06	0	0	3.964080169628433	62.095009289944464	RB1;CDKN1A;PIK3CB;EGFR;MAPK9;MAPK8;MAPK1;RAC1;RALGDS;JAK1;RALBP1;SMAD4;SMAD3;CHUK;TGFB3;STAT1;STAT3;BRAF;TGFBR1;NFKB1;TGFBR2;CDK6;PIK3CA;RPS6KB1;KRAS;RAF1;BCL2L1
KEGG_2019_Mouse	Chronic myeloid leukemia	27/76	2.1519858622517693e-07	8.083534668295298e-06	0	0	3.882958029738552	59.61002456235193	RB1;CDKN1A;HDAC1;PIK3CB;CBL;ABL1;MAPK1;SMAD4;SMAD3;CHUK;TGFB3;PTPN11;BRAF;TGFBR1;NFKB1;RUNX1;TGFBR2;NFKBIA;CDK6;PIK3CA;MDM2;KRAS;GRB2;RAF1;SOS2;CRK;BCL2L1
KEGG_2019_Mouse	Mitophagy	24/63	2.2454262967486938e-07	8.083534668295298e-06	0	0	4.333757408384274	66.34636004580163	USP8;BECN1;RAB7;GABARAPL1;USP15;CSNK2A1;TFEB;AMBRA1;FOXO3;GABARAP;BCL2L13;MAPK9;MAPK8;PINK1;RHOT1;TAX1BP1;MFN1;KRAS;TBC1D17;SQSTM1;OPTN;TBC1D15;ATG5;BCL2L1
KEGG_2019_Mouse	Neurotrophin signaling pathway	36/121	3.8588090140331913e-07	1.2348188844906212e-05	0	0	2.989255823934762	44.14454401497139	YWHAE;CAMK2D;IRS1;PIK3CB;FOXO3;RAP1B;MAPK9;MAPK8;RPS6KA1;ABL1;MAPK1;RAC1;SH2B2;MAP3K3;NTRK2;MAP3K1;PDPK1;SORT1;NTRK3;FRS2;BRAF;PTPN11;MAPK14;NFKB1;RHOA;NFKBIA;PIK3CA;TRAF6;MAPKAPK2;BCL2;GRB2;KRAS;RAF1;CALM1;SOS2;CRK
KEGG_2019_Mouse	mRNA surveillance pathway	30/96	1.1223056688648294e-06	3.1207422005269266e-05	0	0	3.203874572657428	43.89348326974165	DAZAP1;SMG1;NXT1;MSI2;SMG5;PPP1CB;PPP2CA;PNN;PPP1CC;NXF1;FIP1L1;PPP2R5E;PCF11;PPP2R3C;PAPOLA;SYMPK;UPF2;CPSF7;CPSF6;CPSF3;PPP2R5A;UPF3B;PPP2R3A;SRRM1;NUDT21;DDX39B;PPP2R2C;PPP2R2B;ETF1;PABPC1
KEGG_2019_Mouse	Hepatitis B	43/163	1.19195014603459e-06	3.1207422005269266e-05	0	0	2.531202574525745	34.52540014950188	RB1;CDKN1A;DDX3X;YWHAB;PIK3CB;MAPK9;MAPK8;EP300;MAPK1;STAT6;JAK2;MAP3K7;JAK1;MAP2K4;CREBBP;SMAD4;SMAD3;MAP3K1;CHUK;PRKCB;TGFB3;DDX58;STAT1;STAT3;NFATC3;NFATC2;BRAF;MAPK14;NFKB1;TGFBR1;TGFBR2;NFKBIA;CREB1;PIK3CA;TRAF6;VDAC3;BCL2;TAB2;GRB2;KRAS;TAB1;RAF1;SOS2
